"ID","block_plot","block","plot","species","Soil_depth","tot_dry_weight_aff","FRB_g_cm3","SRL_m_g","RLD_m_m3","mycelium","length_aff_cm","surfarea_cm2","avgdiam_mm","rootvol_aff_class_cm3","RTD_g_cm3","tips","forks","crossings","ntips_length_n_cm","nforks_length_n_cm","RDMC_dry_g_fresh_g","h2o","RLD_cm_cm3","SRA_cm2_g","ntips_length_n_cm_log1","RLD_cm_cm3_log1","SRL_m_g_log1","SRA_cm2_g_log1","length_aff_cm_sqrt","RDMC_dry_g_fresh_g_log1","rootvol_aff_class_cm3_log1"
"5_20_PIGL_10_15_500_180830_AF","520","5",20,"Picea glauca","10-15",0.254,0.0027,46.7,128428.7,"no",1187.09891524409,39.3795,0.3549,3.869,0.066,1492,755,46,1.26,0.64,0.28,"Low",12.84287,155.037401574803,0.815364813284194,2.62777029863355,3.8649313978943,5.05009573219785,34.4543018394524,0.246860077931526,1.58288857720056
"5_20_PIGL_15_20_500_180830_AF","520","5",20,"Picea glauca","15-20",0.3869,0.0041,40.3,166283.5,"no",1560.28229906654,34.3972,0.3724,2.622,0.148,1041,630,30,0.67,0.4,0.29,"Low",16.62835,88.9046265184802,0.512823626428664,2.86950840155913,3.72086249996699,4.49874940309534,39.5004088468276,0.254642218373581,1.28702635946122
"5_20_PIGL_20_30_500_180830_AF","520","5",20,"Picea glauca","20-30",0.0941,5e-04,41.2,20141.7,"no",387.521077643485,9.8226,0.3982,0.99,0.095,277,165,8,0.71,0.43,0.3,"Low",2.01417,104.384697130712,0.536493370514568,1.10332450206425,3.74242022104197,4.65761743705322,19.6855550504294,0.262364264467491,0.688134638736401
"3_3_LALA_0_5_500_180831_AF","33","3",3,"Larix laricina","0-5",0.4574,0.0051,29.8,152446.1,"no",1362.18307273126,78.7266,0.4242,10.156,0.045,2352,1352,98,1.73,0.99,0.35,"Low",15.24461,172.117621337997,1.00430160919687,2.78776116144599,3.42751468997953,5.15397125560299,36.9077643962793,0.300104592450338,2.41197746976524
"3_3_LALA_5_10_500_180831_AF","33","3",3,"Larix laricina","5-10",0.524,0.0062,29.7,183076.1,"no",1554.49020884417,19.5887,0.4959,2.493,0.21,435,341,26,0.28,0.22,0.34,"Low",18.30761,37.3830152671756,0.246860077931526,2.96049931871295,3.42426265459315,3.64761505099479,39.4270238395465,0.29266961396282,1.25076096582469
"3_3_LALA_10_15_500_180831_AF","33","3",3,"Larix laricina","10-15",0.1875,0.0022,27.1,58916.6,"no",508.3281,20.2874,0.4387,2.411,0.078,631,411,31,1.24,0.81,0.39,"Low",5.89166,108.199466666667,0.806475865866949,1.9303119848893,3.3357695763397,4.69317617929399,22.5461327060762,0.3293037471426,1.22700550343651
"3_3_LALA_15_20_500_180831_AF","33","3",3,"Larix laricina","15-20",0.1651,0.002,21.7,43973.8,"no",358.568622114293,11.9549,0.6403,1.563,0.106,235,172,4,0.66,0.48,0.27,"Low",4.39738,72.4100545124167,0.506817602368452,1.68591365064463,3.12236492448736,4.29606090869722,18.9359082727577,0.2390169004705,0.941178447381934
"3_3_LALA_20_30_500_180831_AF","33","3",3,"Larix laricina","20-30",0.1583,9e-04,47.3,43616.5,"no",748.129751049219,5.4205,0.4131,0.496,0.319,184,123,8,0.25,0.16,0.35,"Low",4.36165,34.2419456727732,0.22314355131421,1.67927176353188,3.87743156065853,3.56223701159757,27.3519606436032,0.300104592450338,0.402794879552285
"3_7_BEPA_0_5_500_180831_AF","37","3",7,"Betula papyrifera","0-5",0.2753,0.0036,78.4,278377.1,"yes",2157.76994465268,62.9218,0.2313,2.657,0.104,6345,4024,419,2.94,1.86,0.21,"Low",27.83771,228.557210316019,1.37118072330984,3.36168390565801,4.37449836825309,5.43615228085764,46.4518023832518,0.19062035960865,1.29664313916724
"3_7_BEPA_5_10_500_180831_AF","37","3",7,"Betula papyrifera","5-10",0.0995,0.0012,95.7,118555.5,"no",952.150379801754,21.8899,0.2508,1.481,0.067,1189,830,72,1.25,0.87,0.31,"Low",11.85555,219.998994974874,0.810930216216329,2.5537756247112,4.57161340245925,5.39815815388241,30.8569340635416,0.27002713721306,0.908661704709664
