ID,ID_rock,block_plot,block_day,block,plot,sp,depth,resolution,day_of_year,sampling_date,date,_,serial_nb,fraction,fresh_weight_g,fresh_weight_aff,part_fresh_w,dry_weight,dry_weight_f_100,calc_tot_dry_weight,tot_dry_weight_aff,f_perc_prop_weight_aff,vol_calc_sk_ml,vol_perc_sk,vol_fine_cm3,Date_dry_weighing,soilvol_m3,soilvol_cm3,FRB_g_cm3,SRL_m_g,RLD_m_m3,mycelium,length_cm,length_aff_cm,projarea_cm2,surfarea_cm2,avgdiam_mm,lenpervol_cm_m3,rootvol_cm3,rootvol_class_cm3,rootvol_aff_class_cm3,rtd_g_cm3,tips,forks,crossings,ntips_length_n_cm,nforks_length_n_cm,rdmc_dry_g_fresh_g,loi_perc,tc_perc,tn_perc,ca_mg_kg,k_mg_kg,mg_mg_kg,mn_mg_kg,ep_mg_kg,silt_clay_perc,clay_perc,silt_perc,sand_perc,h2o,moist_bepa_5cm,moist_bepa_5cm_vol100perc,moist_bepa_25cm,moist_bepa_25cm_vol100perc,moist_pist_5cm,moist_pist_5cm_vol100perc,moist_pist_25cm,moist_pist_25cm_vol100perc
1_15_BEPA_5_10_500_180823_D,1_15_BEPA_5_10,115,1235,1,15,BEPA,5_10,500,235,8/23/2018,180823,_,180260,D,0.7360,1.8614,NA,0.1010,,NA,0.3537,,4.79,4.89,93.21,12/18/2018,0.000098,98,0.0038,20.1,76117.3,no,100.7691,709.490082066095,7.8459,24.6487,0.7786,1028256.0114,0.480,0.880,2.533,0.140,208,93,3,0.29,0.13,0.19,3.28,1.55,0.094,170.7,15.3,5.40,2.23,63.2,19.03,7.78,11.25,80.97,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_15_BEPA_10_15_500_180823_C,1_15_BEPA_10_15,115,1235,1,15,BEPA,10_15,500,235,8/23/2018,180823,_,180261,C,0.0000,0.0000,NA,0.0000,,NA,0.0000,,5.14,0.00,0.00,12/18/2018,0,0,0.0000,0.0,0.0,no,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0,0,0.00,0.00,0.00,3.28,1.55,0.094,170.7,15.3,5.40,2.23,63.2,19.03,7.78,11.25,80.97,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_15_BEPA_10_15_500_180823_TF,1_15_BEPA_10_15,115,1235,1,15,BEPA,10_15,500,235,8/23/2018,180823,_,180262,TF,0.3706,0.3706,NA,0.1324,,NA,0.1324,,5.14,5.24,92.86,12/18/2018,0.000098,98,0.0014,4.2,5987.2,no,55.5978,55.5978,4.4467,13.9698,0.7998,567324.5917,0.279,0.373,0.373,0.355,48,26,0,0.86,0.47,0.36,3.28,1.55,0.094,170.7,15.3,5.40,2.23,63.2,19.03,7.78,11.25,80.97,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_15_BEPA_10_15_500_180823_AF,1_15_BEPA_10_15,115,1235,1,15,BEPA,10_15,500,235,8/23/2018,180823,_,180263,AF,0.3402,0.6121,NA,0.0565,,NA,0.1263,,5.14,5.24,92.86,12/18/2018,0.000098,98,0.0014,88.8,120773.2,no,294.6117,1121.51940388828,10.4657,32.8790,0.3552,3006241.5638,0.292,0.348,0.859,0.147,1015,844,81,0.91,0.75,0.21,3.28,1.55,0.094,170.7,15.3,5.40,2.23,63.2,19.03,7.78,11.25,80.97,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_15_BEPA_10_15_500_180823_F,1_15_BEPA_10_15,115,1235,1,15,BEPA,10_15,500,235,8/23/2018,180823,_,180264,F,0.0337,0.3370,NA,0.0086,0.0860,NA,0.0860,68.08,5.14,5.24,92.86,12/18/2018,0.000098,98,0.0009,101.6,94134.8,no,87.4151,874.151,2.6134,8.2103,0.2990,891991.1266,0.061,0.064,0.643,0.134,685,320,20,0.78,0.37,0.26,3.28,1.55,0.094,170.7,15.3,5.40,2.23,63.2,19.03,7.78,11.25,80.97,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_15_BEPA_10_15_500_180823_D,1_15_BEPA_10_15,115,1235,1,15,BEPA,10_15,500,235,8/23/2018,180823,_,180265,D,0.0815,0.1466,NA,0.0131,,NA,0.0293,,5.14,5.24,92.86,12/18/2018,0.000098,98,0.0003,21.9,6900.1,no,16.8319,64.0751961117198,1.2369,3.8859,0.7349,171754.1539,0.071,0.089,0.221,0.133,36,20,0,0.56,0.31,0.20,3.28,1.55,0.094,170.7,15.3,5.40,2.23,63.2,19.03,7.78,11.25,80.97,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_15_BEPA_15_20_500_180823_C,1_15_BEPA_15_20,115,1235,1,15,BEPA,15_20,500,235,8/23/2018,180823,_,180266,C,0.5799,0.5799,NA,0.2315,,NA,0.2315,,5.12,5.23,92.88,12/18/2018,0.000098,98,0.0025,0.3,649.1,no,6.0287,6.0287,2.0846,6.5491,3.4579,61516.9076,0.566,0.579,0.579,0.400,5,9,0,0.83,1.49,0.40,3.28,1.55,0.094,170.7,15.3,5.40,2.23,63.2,19.03,7.78,11.25,80.97,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_15_BEPA_15_20_500_180823_TF,1_15_BEPA_15_20,115,1235,1,15,BEPA,15_20,500,235,8/23/2018,180823,_,180267,TF,0.1255,0.1255,NA,0.0431,,NA,0.0431,,5.12,5.23,92.88,12/18/2018,0.000098,98,0.0005,8.6,4003.9,no,37.1874,37.1874,2.3623,7.4215,0.6353,379463.4677,0.118,0.129,0.129,0.335,59,23,0,1.59,0.62,0.34,3.28,1.55,0.094,170.7,15.3,5.40,2.23,63.2,19.03,7.78,11.25,80.97,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_15_BEPA_15_20_500_180823_AF,1_15_BEPA_15_20,115,1235,1,15,BEPA,15_20,500,235,8/23/2018,180823,_,180268,AF,0.6262,2.0576,NA,0.1033,,NA,0.4530,,5.12,5.23,92.88,12/18/2018,0.000098,98,0.0049,49.3,240446.4,no,418.3574,2233.20940215162,15.9763,50.1910,0.3819,4268953.0863,0.479,0.644,2.642,0.171,1803,1524,118,0.81,0.68,0.22,3.28,1.55,0.094,170.7,15.3,5.40,2.23,63.2,19.03,7.78,11.25,80.97,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_15_BEPA_15_20_500_180823_F,1_15_BEPA_15_20,115,1235,1,15,BEPA,15_20,500,235,8/23/2018,180823,_,180269,F,0.1601,1.6010,NA,0.0390,0.3900,NA,0.3900,86.09,5.12,5.23,92.88,12/18/2018,0.000098,98,0.0042,48.1,202144.0,no,187.7466,1877.466,7.1497,22.4614,0.3808,1915781.2134,0.214,0.233,2.333,0.167,1270,981,57,0.68,0.52,0.24,3.28,1.55,0.094,170.7,15.3,5.40,2.23,63.2,19.03,7.78,11.25,80.97,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_15_BEPA_15_20_500_180823_D,1_15_BEPA_15_20,115,1235,1,15,BEPA,15_20,500,235,8/23/2018,180823,_,180270,D,0.0742,0.2438,NA,0.0119,,NA,0.0522,,5.12,5.23,92.88,12/18/2018,0.000098,98,0.0006,14.8,8295.6,no,14.4337,77.0476978483846,1.1680,3.6693,0.8092,147282.3402,0.074,0.108,0.443,0.118,24,13,0,0.31,0.17,0.21,3.28,1.55,0.094,170.7,15.3,5.40,2.23,63.2,19.03,7.78,11.25,80.97,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_15_BEPA_20_30_500_180823_C,1_15_BEPA_20_30,115,1235,1,15,BEPA,20_30,500,235,8/23/2018,180823,_,180271,C,0.7107,0.7107,NA,0.3178,,NA,0.3178,,6.80,3.47,189.20,12/18/2018,0.000196,196,0.0017,0.4,720.2,no,13.6260,13.6260,3.3084,10.3936,2.4280,69520.6428,0.631,0.700,0.700,0.454,11,7,0,0.81,0.51,0.45,3.28,1.55,0.094,170.7,15.3,5.40,2.23,63.2,19.03,7.78,11.25,80.97,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_15_BEPA_20_30_500_180823_TF,1_15_BEPA_20_30,115,1235,1,15,BEPA,20_30,500,235,8/23/2018,180823,_,180272,TF,0.5919,0.5919,NA,0.2305,,NA,0.2305,,6.80,3.47,189.20,12/18/2018,0.000196,196,0.0012,3.9,4721.2,no,89.3241,89.3241,7.2040,22.6319,0.8065,455735.2334,0.456,0.584,0.584,0.395,147,79,0,1.65,0.88,0.39,3.28,1.55,0.094,170.7,15.3,5.40,2.23,63.2,19.03,7.78,11.25,80.97,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_15_BEPA_20_30_500_180823_AF,1_15_BEPA_20_30,115,1235,1,15,BEPA,20_30,500,235,8/23/2018,180823,_,180273,AF,0.8422,2.7557,NA,0.1228,,NA,0.5750,,6.80,3.47,189.20,12/18/2018,0.000196,196,0.0030,65.8,199913.0,no,526.3116,3782.28346017714,21.1644,66.4900,0.4021,2685263.3206,0.668,0.919,2.783,0.207,1652,1224,131,0.44,0.32,0.21,3.28,1.55,0.094,170.7,15.3,5.40,2.23,63.2,19.03,7.78,11.25,80.97,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_15_BEPA_20_30_500_180823_F,1_15_BEPA_20_30,115,1235,1,15,BEPA,20_30,500,235,8/23/2018,180823,_,180274,F,0.2222,2.2220,NA,0.0534,0.5340,NA,0.5340,92.86,6.80,3.47,189.20,12/18/2018,0.000196,196,0.0028,64.8,182802.5,no,345.8559,3458.559,9.0627,28.4713,0.2620,1764570.9249,0.187,0.212,2.118,0.252,2707,1485,127,0.78,0.43,0.24,3.28,1.55,0.094,170.7,15.3,5.40,2.23,63.2,19.03,7.78,11.25,80.97,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_15_BEPA_20_30_500_180823_D,1_15_BEPA_20_30,115,1235,1,15,BEPA,20_30,500,235,8/23/2018,180823,_,180275,D,0.1358,0.4443,NA,0.0222,,NA,0.1040,,6.80,3.47,189.20,12/18/2018,0.000196,196,0.0005,22.6,12438.6,no,32.7472,235.334339822859,2.0583,6.4665,0.6286,167077.3859,0.102,0.125,0.378,0.275,82,42,1,0.35,0.18,0.23,3.28,1.55,0.094,170.7,15.3,5.40,2.23,63.2,19.03,7.78,11.25,80.97,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_0_5_500_180823_C,1_24_LALA_0_5,124,1235,1,24,LALA,0_5,500,235,8/23/2018,180823,_,180276,C,1.0242,1.0242,NA,0.3080,,NA,0.3080,,8.33,8.50,89.67,12/19/2018,0.000098,98,0.0034,0.4,1503.9,no,13.4852,13.4852,3.2479,10.2036,2.4085,137603.6106,0.614,0.738,0.738,0.417,20,12,0,1.48,0.89,0.30,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_0_5_500_180823_TF,1_24_LALA_0_5,124,1235,1,24,LALA,0_5,500,235,8/23/2018,180823,_,180277,TF,1.0350,1.0350,NA,0.3197,,NA,0.3197,,8.33,8.50,89.67,12/19/2018,0.000098,98,0.0036,3.1,11192.7,no,100.3653,100.3653,10.6860,33.5712,1.0647,1024135.5831,0.894,1.035,1.035,0.309,144,92,1,1.43,0.92,0.31,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_0_5_500_180823_AF,1_24_LALA_0_5,124,1235,1,24,LALA,0_5,500,235,8/23/2018,180823,_,180278,AF,1.4588,5.0455,0.4310,0.1701,,0.5757,1.5412,,8.33,8.50,89.67,12/19/2018,0.000098,98,0.0172,33.8,580933.2,no,1005.2453,5209.26161320536,44.4242,139.5626,0.4419,10257604.9010,1.542,1.737,6.675,0.231,3772,3026,243,0.72,0.58,0.31,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_0_5_500_180823_F,1_24_LALA_0_5,124,1235,1,24,LALA,0_5,500,235,8/23/2018,180823,_,180279,F,0.4316,4.3160,NA,0.1265,1.2650,NA,1.2650,82.08,8.33,8.50,89.67,12/19/2018,0.000098,98,0.0141,35.5,501397.6,no,449.6061,4496.061,17.8234,55.9938,0.3964,4587817.6267,0.555,0.579,5.792,0.218,2144,1791,162,0.48,0.40,0.29,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_0_5_500_180823_D,1_24_LALA_0_5,124,1235,1,24,LALA,0_5,500,235,8/23/2018,180823,_,180280,D,0.2966,1.0259,NA,0.1786,,0.5757,0.4781,,8.33,8.50,89.67,12/19/2018,0.000098,98,0.0053,7.6,40356.3,no,69.8324,361.877086794638,4.7511,14.9259,0.6804,712575.8269,0.254,0.300,1.154,0.414,112,61,1,0.31,0.17,0.47,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_5_10_500_180823_C,1_24_LALA_5_10,124,1235,1,24,LALA,5_10,500,235,8/23/2018,180823,_,180281,C,2.6348,2.6348,NA,0.7942,,NA,0.7942,,5.71,5.82,92.29,12/19/2018,0.000098,98,0.0086,0.1,1051.7,no,9.7066,9.7066,5.4131,17.0057,5.5767,99046.9514,2.371,2.877,2.877,0.276,10,6,0,1.03,0.62,0.30,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_5_10_500_180823_TF,1_24_LALA_5_10,124,1235,1,24,LALA,5_10,500,235,8/23/2018,180823,_,180282,TF,0.6304,0.6304,NA,0.1760,,NA,0.1760,,5.71,5.82,92.29,12/19/2018,0.000098,98,0.0019,3.1,5870.7,no,54.1830,54.1830,6.4113,20.1417,1.1833,552888.2093,0.596,0.696,0.696,0.253,71,43,0,1.31,0.79,0.28,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_5_10_500_180823_AF,1_24_LALA_5_10,124,1235,1,24,LALA,5_10,500,235,8/23/2018,180823,_,180283,AF,0.4782,2.3670,NA,0.1176,,NA,0.6037,,5.71,5.82,92.29,12/19/2018,0.000098,98,0.0065,40.0,261597.1,no,283.3031,2414.3685207677,13.0842,41.1052,0.4618,2890847.5039,0.475,0.516,2.551,0.237,825,599,59,0.34,0.25,0.26,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_5_10_500_180823_F,1_24_LALA_5_10,124,1235,1,24,LALA,5_10,500,235,8/23/2018,180823,_,180284,F,0.1965,1.9650,NA,0.0508,0.5080,NA,0.5080,84.15,5.71,5.82,92.29,12/19/2018,0.000098,98,0.0055,42.3,233032.5,no,215.0736,2150.736,7.7833,24.4520,0.3619,2194628.8459,0.221,0.213,2.129,0.239,1132,599,58,0.53,0.28,0.26,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_5_10_500_180823_D,1_24_LALA_5_10,124,1235,1,24,LALA,5_10,500,235,8/23/2018,180823,_,180285,D,0.0193,0.0955,NA,0.0053,,NA,0.0272,,5.71,5.82,92.29,12/19/2018,0.000098,98,0.0003,8.2,2414.6,no,2.6150,22.2855792323046,0.2833,0.8899,1.0832,26684.0658,0.024,0.024,0.117,0.232,4,2,0,0.18,0.09,0.28,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_10_15_500_180823_C,1_24_LALA_10_15,124,1235,1,24,LALA,10_15,500,235,8/23/2018,180823,_,180286,C,0.3575,0.3575,NA,0.1208,,NA,0.1208,,5.35,5.46,92.65,12/19/2018,0.000098,98,0.0013,0.3,415.5,no,3.8500,3.8500,1.3345,4.1925,3.4662,39285.7718,0.363,0.374,0.374,0.323,4,2,0,1.04,0.52,0.34,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_10_15_500_180823_TF,1_24_LALA_10_15,124,1235,1,24,LALA,10_15,500,235,8/23/2018,180823,_,180287,TF,0.2815,0.2815,NA,0.0877,,NA,0.0877,,5.35,5.46,92.65,12/19/2018,0.000098,98,0.0009,2.9,2752.3,no,25.4999,25.4999,2.8971,9.1016,1.1361,260202.8124,0.259,0.278,0.278,0.316,49,33,0,1.92,1.29,0.31,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_10_15_500_180823_AF,1_24_LALA_10_15,124,1235,1,24,LALA,10_15,500,235,8/23/2018,180823,_,180288,AF,0.4248,2.0265,NA,0.1111,,NA,0.5672,,5.35,5.46,92.65,12/19/2018,0.000098,98,0.0061,36.2,221607.5,no,220.9693,2053.20774491608,10.7428,33.7494,0.4862,2254788.6021,0.410,0.421,2.076,0.273,704,681,36,0.34,0.33,0.28,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_10_15_500_180823_F,1_24_LALA_10_15,124,1235,1,24,LALA,10_15,500,235,8/23/2018,180823,_,180289,F,0.2027,2.0270,NA,0.0571,0.5710,NA,0.5710,100.68,5.35,5.46,92.65,12/19/2018,0.000098,98,0.0062,35.2,216636.1,no,200.7147,2007.147,7.5885,23.8401,0.3781,2048109.3230,0.225,0.236,2.360,0.242,1010,542,47,0.50,0.27,0.28,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_10_15_500_180823_D,1_24_LALA_10_15,124,1235,1,24,LALA,10_15,500,235,8/23/2018,180823,_,180290,D,0.1128,0.5381,NA,0.0280,,NA,0.1429,,5.35,5.46,92.65,12/19/2018,0.000098,98,0.0015,13.7,21155.0,no,21.0941,196.002655083916,2.0812,6.5384,0.9866,215245.8528,0.161,0.179,0.884,0.162,38,22,0,0.19,0.11,0.27,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_15_20_500_180823_C,1_24_LALA_15_20,124,1235,1,24,LALA,15_20,500,235,8/23/2018,180823,_,180291,C,0.0000,0.0000,NA,0.0000,,NA,0.0000,,9.51,0.00,0.00,12/19/2018,0,0,0.0000,0.0,0.0,no,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0,0,0.00,0.00,0.00,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_15_20_500_180823_TF,1_24_LALA_15_20,124,1235,1,24,LALA,15_20,500,235,8/23/2018,180823,_,180292,TF,0.1352,0.1352,NA,0.0225,,NA,0.0225,,9.51,9.71,88.49,12/19/2018,0.000098,98,0.0003,4.8,1221.6,no,10.8096,10.8096,1.4336,4.5039,1.3263,110301.5756,0.149,0.153,0.153,0.147,20,14,0,1.85,1.30,0.17,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_15_20_500_180823_AF,1_24_LALA_15_20,124,1235,1,24,LALA,15_20,500,235,8/23/2018,180823,_,180293,AF,0.2333,0.5708,NA,0.0500,,NA,0.1418,,9.51,9.71,88.49,12/19/2018,0.000098,98,0.0016,28.0,44792.7,no,103.6760,396.352246538519,5.8392,18.3445,0.5632,1057918.5180,0.258,0.262,0.670,0.212,417,296,14,1.05,0.75,0.25,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_15_20_500_180823_F,1_24_LALA_15_20,124,1235,1,24,LALA,15_20,500,235,8/23/2018,180823,_,180294,F,0.0437,0.4370,NA,0.0118,0.1180,NA,0.1180,83.24,9.51,9.71,88.49,12/19/2018,0.000098,98,0.0013,27.4,36578.6,no,32.3669,323.669,1.4581,4.5807,0.4505,330274.1458,0.052,0.060,0.598,0.197,191,79,9,0.59,0.24,0.27,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_15_20_500_180823_D,1_24_LALA_15_20,124,1235,1,24,LALA,15_20,500,235,8/23/2018,180823,_,180295,D,0.0688,0.1683,NA,0.0143,,NA,0.0405,,9.51,9.71,88.49,12/19/2018,0.000098,98,0.0005,10.4,4743.3,no,10.9787,41.9714534614804,1.1847,3.7218,1.0791,112027.3843,0.100,0.122,0.312,0.130,25,19,1,0.60,0.45,0.24,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_20_30_500_180823_C,1_24_LALA_20_30,124,1235,1,24,LALA,20_30,500,235,8/23/2018,180823,_,180296,C,0.5990,0.5990,NA,0.1817,,NA,0.1817,,6.32,3.22,189.68,12/19/2018,0.000196,196,0.0010,0.8,738.1,no,14.0009,14.0009,3.4182,10.7386,2.4414,71433.2882,0.655,0.685,0.685,0.265,14,2,0,1.00,0.14,0.30,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_20_30_500_180823_TF,1_24_LALA_20_30,124,1235,1,24,LALA,20_30,500,235,8/23/2018,180823,_,180297,TF,0.2541,0.2541,NA,0.0465,,NA,0.0465,,6.32,3.22,189.68,12/19/2018,0.000196,196,0.0002,4.2,1037.2,no,19.6732,19.6732,2.6625,8.3644,1.3534,100373.4419,0.283,0.304,0.304,0.153,28,26,0,1.42,1.32,0.18,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_20_30_500_180823_AF,1_24_LALA_20_30,124,1235,1,24,LALA,20_30,500,235,8/23/2018,180823,_,180298,AF,0.5611,1.2266,NA,0.1085,,NA,0.1935,,6.32,3.22,189.68,12/19/2018,0.000196,196,0.0010,43.5,44370.2,no,207.7217,841.616567099042,11.9606,37.5752,0.5758,1059804.3922,0.541,0.583,1.556,0.124,665,504,20,0.79,0.60,0.16,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_20_30_500_180823_F,1_24_LALA_20_30,124,1235,1,24,LALA,20_30,500,235,8/23/2018,180823,_,180299,F,0.0799,0.7990,NA,0.0100,0.1000,NA,0.1000,51.69,6.32,3.22,189.68,12/19/2018,0.000196,196,0.0005,68.9,36303.9,no,68.8615,688.615,3.0636,9.6246,0.4449,351334.2865,0.107,0.120,1.204,0.083,479,125,8,0.70,0.18,0.13,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
1_24_LALA_20_30_500_180823_D,1_24_LALA_20_30,124,1235,1,24,LALA,20_30,500,235,8/23/2018,180823,_,180300,D,0.1126,0.2461,NA,0.0192,,NA,0.0342,,6.32,3.22,189.68,12/19/2018,0.000196,196,0.0002,21.2,3830.2,no,17.9313,72.6514329009586,1.6871,5.3003,0.9409,91486.4002,0.125,0.138,0.368,0.093,40,20,0,0.55,0.28,0.14,3.34,1.57,0.092,135.5,NA,5.19,2.30,71.6,16.98,7.43,9.55,83.02,H,0.152,15.2,0.228,22.8,0.164,16.4,0.213,21.3
6_20_QURU_0_5_500_180823_C,6_20_QURU_0_5,620,6235,6,20,QURU,0_5,500,235,8/23/2018,180823,_,180301,C,0.3643,0.3643,NA,0.1665,,NA,0.1665,,15.70,16.02,82.30,12/19/2018,0.000098,98,0.0020,0.2,427.7,no,3.5198,3.5198,1.1550,3.6286,3.2815,35916.3611,0.298,0.299,0.299,0.557,5,3,0,1.42,0.85,0.46,3.91,1.78,0.110,165.5,16.1,3.26,1.81,42.4,21.17,8.67,12.5,78.83,L,0.128,12.8,0.125,12.5,0.143,14.3,0.168,16.8
6_20_QURU_0_5_500_180823_TF,6_20_QURU_0_5,620,6235,6,20,QURU,0_5,500,235,8/23/2018,180823,_,180302,TF,0.3272,0.3272,NA,0.1435,,NA,0.1435,,15.70,16.02,82.30,12/19/2018,0.000098,98,0.0017,7.7,13467.5,no,110.8417,110.8417,6.0131,18.8909,0.5425,1131037.5885,0.256,0.299,0.299,0.481,140,79,0,1.26,0.71,0.44,3.91,1.78,0.110,165.5,16.1,3.26,1.81,42.4,21.17,8.67,12.5,78.83,L,0.128,12.8,0.125,12.5,0.143,14.3,0.168,16.8
6_20_QURU_0_5_500_180823_AF,6_20_QURU_0_5,620,6235,6,20,QURU,0_5,500,235,8/23/2018,180823,_,180303,AF,1.0510,2.0460,0.3567,0.1711,,0.5041,0.8321,,15.70,16.02,82.30,12/19/2018,0.000098,98,0.0101,67.7,684521.7,no,2673.2681,5633.8381,66.2092,208.0023,0.2477,27278245.6510,1.288,1.274,2.950,0.282,9876,12220,2103,1.75,2.17,0.41,3.91,1.78,0.110,165.5,16.1,3.26,1.81,42.4,21.17,8.67,12.5,78.83,L,0.128,12.8,0.125,12.5,0.143,14.3,0.168,16.8
6_20_QURU_0_5_500_180823_F,6_20_QURU_0_5,620,6235,6,20,QURU,0_5,500,235,8/23/2018,180823,_,180304,F,0.0995,0.9950,NA,0.0328,0.3280,NA,0.3280,39.42,15.70,16.02,82.30,12/19/2018,0.000098,98,0.0040,90.3,359714.7,no,296.0570,2960.57,7.7166,24.2424,0.2606,3020989.9404,0.158,0.168,1.676,0.196,2013,1496,197,0.68,0.51,0.33,3.91,1.78,0.110,165.5,16.1,3.26,1.81,42.4,21.17,8.67,12.5,78.83,L,0.128,12.8,0.125,12.5,0.143,14.3,0.168,16.8
6_20_QURU_0_5_500_180823_D,6_20_QURU_0_5,620,6235,6,20,QURU,0_5,500,235,8/23/2018,180823,_,180305,D,0.0000,0.0000,NA,0.0000,,0.5041,0.0000,,15.70,0.00,0.00,12/19/2018,0,0,0.0000,0.0,0.0,no,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0,0,0.00,0.00,0.00,3.91,1.78,0.110,165.5,16.1,3.26,1.81,42.4,21.17,8.67,12.5,78.83,L,0.128,12.8,0.125,12.5,0.143,14.3,0.168,16.8
