ID,ID_rock,block_plot,block_day,block,plot,sp,depth,resolution,day_of_year,sampling_date,date,_,serial_nb,fraction,fresh_weight_g,fresh_weight_aff,part_fresh_w,dry_weight,dry_weight_f_100,calc_tot_dry_weight,tot_dry_weight_aff,f_perc_prop_weight_aff,vol_calc_sk_ml,vol_perc_sk,vol_fine_cm3,Date_dry_weighing,soilvol_m3,soilvol_cm3,FRB_g_cm3,SRL_m_g,RLD_m_m3,mycelium,length_cm,length_aff_cm,projarea_cm2,surfarea_cm2,avgdiam_mm,lenpervol_cm_m3,rootvol_cm3,rootvol_class_cm3,rootvol_aff_class_cm3,rtd_g_cm3,tips,forks,crossings,ntips_length_n_cm,nforks_length_n_cm,rdmc_dry_g_fresh_g,loi_perc,tc_perc,tn_perc,ca_mg_kg,k_mg_kg,mg_mg_kg,mn_mg_kg,ep_mg_kg,silt_clay_perc,clay_perc,silt_perc,sand_perc,h2o,moist_bepa_5cm,moist_bepa_5cm_vol100perc,moist_bepa_25cm,moist_bepa_25cm_vol100perc,moist_pist_5cm,moist_pist_5cm_vol100perc,moist_pist_25cm,moist_pist_25cm_vol100perc
2_2_QURU_10_15_500_180815_C,2_2_QURU_10_15,22,2227,2,2,QURU,10_15,500,227,8/15/2018,180815,_,180011,C,0.2022,0.2022,NA,0.0888,,NA,0.0888,,7.63,7.79,90.37,12/17/2018,0.000098,98,0.0010,0.6,604.3,no,5.4607,5.4607,0.8263,2.596,1.5133,55721.4244,0.098,0.152,0.152,0.583,8,4,1,1.47,0.73,0.44,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_10_15_500_180815_TF,2_2_QURU_10_15,22,2227,2,2,QURU,10_15,500,227,8/15/2018,180815,_,180012,TF,0.5951,0.5951,NA,0.2456,,NA,0.2456,,7.63,7.79,90.37,12/17/2018,0.000098,98,0.0027,6.1,16545.4,no,149.5188,149.5188,8.4178,26.4452,0.563,1525702.002,0.372,0.491,0.491,0.500,415,228,6,2.78,1.52,0.41,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_10_15_500_180815_AF,2_2_QURU_10_15,22,2227,2,2,QURU,10_15,500,227,8/15/2018,180815,_,180013,AF,0.4984,1.5774,0.1630,0.1026,,0.3137,0.7706,,7.63,7.79,90.37,12/17/2018,0.000098,98,0.0085,61.6,525479.7,no,1325.1313,4748.69122012437,26.8571,84.3739,0.2027,13521748.37,0.428,0.418,2.183,0.353,7571,7677,1294,1.59,1.62,0.49,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_10_15_500_180815_F,2_2_QURU_10_15,22,2227,2,2,QURU,10_15,500,227,8/15/2018,180815,_,180014,F,0.1087,1.0870,NA,0.0471,0.4710,NA,0.4710,61.12,7.63,7.79,90.37,12/17/2018,0.000098,98,0.0052,74.3,387072.9,no,349.7927,3497.927,9.1508,28.748,0.2616,3569313.281,0.188,0.206,2.064,0.228,2208,1999,239,0.63,0.57,0.43,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_10_15_500_180815_D,2_2_QURU_10_15,22,2227,2,2,QURU,10_15,500,227,8/15/2018,180815,_,180015,D,0.0037,0.0117,NA,0.0097,,0.3137,0.0238,,7.63,7.79,90.37,12/17/2018,0.000098,98,0.0003,43.3,11414.5,no,28.7847,103.151779875635,1.2502,3.9276,0.4343,293721.4928,0.043,0.071,0.369,0.065,93,94,6,0.90,0.91,2.03,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_15_20_500_180815_C,2_2_QURU_15_20,22,2227,2,2,QURU,15_20,500,227,8/15/2018,180815,_,180016,C,0.1520,0.1520,NA,0.0464,,NA,0.0464,,7.64,7.80,90.36,12/17/2018,0.000098,98,0.0005,0.9,462.5,no,4.1789,4.1789,0.8943,2.8096,2.1401,42641.4002,0.15,0.154,0.154,0.301,7,7,0,1.68,1.68,0.31,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_15_20_500_180815_TF,2_2_QURU_15_20,22,2227,2,2,QURU,15_20,500,227,8/15/2018,180815,_,180017,TF,0.3382,0.3382,NA,0.1413,,NA,0.1413,,7.64,7.80,90.36,12/17/2018,0.000098,98,0.0016,9.1,14206.4,no,128.3624,128.3624,6.7053,21.0652,0.5224,1309820.383,0.275,0.331,0.331,0.427,485,299,12,3.78,2.33,0.42,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_15_20_500_180815_AF,2_2_QURU_15_20,22,2227,2,2,QURU,15_20,500,227,8/15/2018,180815,_,180018,AF,0.2924,0.6901,0.0690,0.0531,,0.2250,0.4651,,7.64,7.80,90.36,12/17/2018,0.000098,98,0.0051,72.0,370507.1,no,894.6148,3347.73415841787,18.5264,58.2025,0.2071,9128722.935,0.301,0.251,0.716,0.649,4818,4024,466,1.44,1.20,0.67,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_15_20_500_180815_F,2_2_QURU_15_20,22,2227,2,2,QURU,15_20,500,227,8/15/2018,180815,_,180019,F,0.0816,0.8160,NA,0.0348,0.3480,NA,0.3480,74.82,7.64,7.80,90.36,12/17/2018,0.000098,98,0.0039,83.5,321515.5,no,290.5068,2905.068,7.51,23.5932,0.2585,2964355.519,0.152,0.153,1.531,0.227,2056,1543,178,0.71,0.53,0.43,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
2_2_QURU_15_20_500_180815_D,2_2_QURU_15_20,22,2227,2,2,QURU,15_20,500,227,8/15/2018,180815,_,180020,D,0.3076,0.7259,NA,0.1011,,0.2250,0.2090,,7.64,7.80,90.36,12/17/2018,0.000098,98,0.0023,29.5,68260.1,no,164.8187,616.767341582129,8.9403,28.0868,0.5424,1681823.616,0.381,0.575,1.640,0.127,1423,900,53,2.31,1.46,0.29,1.73,1.54,0.100,184.6,32.3,3.93,2.11,68.7,19.57,6.8,12.77,80.43,L,0.056,5.6,0.080,8.0,0.050,5.0,0.054,5.4
